date,northern_hem,southern_hem,mean_global
1992.9323,13.717,2.517,
1992.9595,1.328,-7.645,-5.818
1992.9866,-13.375,-2.267,-7.525
1993.0138,-24.723,0.855,-9.215
1993.0409,-29.231,-2.02,-11.796
1993.0681,-32.538,-0.398,-11.291
1993.0952,-35.588,4.102,-9.569
1993.1223,-26.579,6.787,-3.714
1993.1495,-29.622,10.315,-2.471
1993.1766,-34.527,5.919,-6.784
1993.2038,-34.25,7.193,-5.772
1993.2309,-28.518,7.789,-2.853
1993.2581,-30.437,-5.459,
1993.2852,-21.371,4.506,-1.943
1993.3124,-19.196,5.602,-0.293
1993.3395,-23.758,0.205,-5.296
1993.3667,-23.628,-3.31,-7.317
1993.3938,-17.808,-5.484,-6.346
1993.421,-10.085,-2.518,-1.62
1993.4481,-2.12,-3.966,0.416
1993.4753,-1.728,-6.77,-1.503
1993.5024,-4.942,-8.108,-4.163
1993.5296,5.074,-14.697,-4.853
1993.5567,0.386,-15.249,
1993.5839,22.555,-19.434,-2.577
1993.611,22.201,-17.15,-2.444
1993.6382,29.06,-19.87,-2.335
1993.6653,23.325,-20.546,-6.265
1993.6925,16.635,-16.346,-7.356
1993.7196,21.488,-17.36,-6.358
1993.7468,32.827,-14.226,-0.77
1993.7739,34.992,-10.872,1.805
1993.801,30.541,-14.024,-1.886
1993.8282,18.24,-14.008,
1993.8553,8.044,-9.115,-7.186
1993.8825,10.529,-7.718,-4.588
1993.9096,10.772,-6.169,-2.648
1993.9368,10.732,-4.656,-0.795
1993.9639,1.704,3.492,1.461
1993.9911,-8.579,-0.251,-3.859
1994.0182,-14.764,-1.078,-5.904
1994.0454,-12.663,3.887,-1.261
1994.0725,-19.485,13.173,2.404
1994.0997,-23.443,8.984,-1.173
1994.1268,-31.32,4.399,-6.507
1994.154,-37.411,1.308,-10.638
1994.1811,-35.844,13.495,-2.544
1994.2083,-20.794,10.22,
1994.2354,-29.478,15.807,1.699
1994.2626,-24.542,10.829,0.824
1994.2897,-29.375,10.743,-1.043
1994.3169,-26.85,1.403,-5.562
1994.344,-25.8,2.629,-4.376
1994.3712,-18.381,2.42,-1.532
1994.3983,-17.143,-1.69,-3.553
1994.4255,-13.169,-1.809,-2.147
1994.4526,-12.817,-3.438,-3.283
1994.4798,-14.908,-11.829,
1994.5069,-2.614,-13.075,-6.102
1994.534,5.727,-9.505,-1.283
1994.5612,11.448,-8.981,0.386
1994.5883,8.972,-8.773,-1.522
1994.6155,10.802,-18.4,-7.664
1994.6426,13.665,-19.2,-8.044
1994.6698,20.258,-22.143,-8.182
1994.6969,34.426,-17.47,-0.322
1994.7241,35.109,-17.129,-0.764
1994.7512,24.421,-15.012,-4.568
1994.7784,25.116,-16.181,-5.281
1994.8055,18.954,-10.939,-4.447
1994.8327,14.186,-10.363,-5.614
1994.8598,19.882,4.403,
1994.887,16.49,-10.154,-3.24
1994.9141,-0.195,-12.189,-10.229
1994.9413,-0.438,-9.834,-7.929
1994.9684,-6.651,-2.703,-5.132
1994.9956,-12.734,7.809,-0.212
1995.0227,-16.869,13.406,2.458
1995.0499,-16.734,11.835,2.365
1995.077,-24.215,17.897,3.806
1995.1042,-32.395,10.742,-3.379
1995.1313,-37.79,4.341,-8.843
1995.1585,-30.054,11.276,-1.374
1995.1856,-18.882,24.336,
1995.2128,-29.813,21.872,5.367
1995.2399,-30.159,8.241,-2.756
1995.267,-31.591,6.452,-4.33
1995.2942,-28.16,1.431,-5.885
1995.3213,-16.628,1.531,-1.166
1995.3485,-18.468,4.119,
1995.3756,-15.211,-0.162,-1.544
1995.4028,-12.198,-1.114,-0.936
1995.4299,-17.616,1.749,-1.559
1995.4571,-9.138,-7.157,-3.805
1995.4842,-4.681,-6.75,-2.239
1995.5114,5.051,7.931,
1995.5385,8.199,-9.703,-0.312
1995.5657,9.457,-13.271,-2.837
1995.5928,3.64,-13.448,-6.275
1995.62,12.035,-18.362,-6.978
1995.6471,21.737,-19.281,-4.627
1995.6743,26.13,-11.715,0.555
1995.7014,34.952,-13.792,1.799
1995.7286,32.891,-11.216,2.079
1995.7557,26.196,-16.096,-4.116
1995.7829,26.565,-18.685,-5.58
1995.81,18.206,-11.709,
1995.8372,20.199,-7.319,-1.007
1995.8643,22.797,-8.014,0.257
1995.8915,20.865,-10.144,-0.928
1995.9458,3.133,-10.152,-6.178
1995.9729,3.723,4.05,3.549
1996.0,-8.298,8.021,2.121
1996.0272,-15.226,4.369,-1.907
1996.0543,-19.351,0.676,-5.008
1996.0815,-27.781,1.914,-6.979
1996.1086,-32.942,8.965,-4.363
1996.1358,-26.88,14.64,
1996.1629,-25.254,18.665,5.333
1996.1901,-31.981,14.792,0.404
1996.2172,-31.199,13.216,-0.115
1996.2444,-37.867,14.188,-1.889
1996.2715,-34.202,10.06,-2.813
1996.2987,-20.903,8.3,1.439
1996.3258,-12.289,7.807,4.639
1996.353,-12.586,4.897,2.876
1996.3801,-12.891,0.098,-0.125
1996.4073,-13.617,-0.094,-0.63
1996.4344,-7.525,-1.07,1.051
1996.4616,-10.684,-1.051,
1996.4887,-0.323,6.226,7.51
1996.5159,4.036,-0.079,4.802
1996.543,15.21,-9.219,2.974
1996.5702,19.634,-13.266,1.43
1996.5973,15.832,-8.008,1.92
1996.6245,19.091,-8.513,1.791
1996.6516,27.47,-10.305,2.903
1996.6788,33.489,-14.892,1.62
1996.7059,33.247,-16.504,-0.306
1996.733,30.114,-16.698,-1.936
1996.7602,28.349,-13.09,-1.189
1996.7873,16.485,-16.277,
1996.8145,23.172,-7.566,0.035
1996.8416,27.836,-5.89,3.471
1996.8688,25.333,-9.022,1.228
1996.8959,8.147,-5.264,-2.764
1996.9231,6.546,-0.403,0.452
1996.9502,3.238,7.443,4.804
1996.9774,0.742,5.352,3.602
1997.0045,-6.439,5.169,1.636
1997.0317,-11.603,3.083,-0.803
1997.0588,-27.445,5.189,-5.01
1997.086,-24.603,12.049,0.989
1997.1131,-32.545,2.174,
1997.1403,-22.992,13.187,3.083
1997.1674,-21.15,9.064,1.468
1997.1946,-28.745,8.237,-1.823
1997.2217,-35.628,13.616,-1.142
1997.2489,-27.859,14.814,2.696
1997.276,-24.75,20.021,7.35
1997.3032,-30.654,17.929,3.831
1997.3303,-21.445,10.111,2.789
1997.3575,-12.061,10.813,6.987
1997.3846,-8.699,0.556,2.104
1997.4118,-0.627,4.637,7.687
1997.4389,-9.468,9.693,
1997.466,-1.646,12.133,11.306
1997.4932,1.674,8.853,10.143
1997.5203,5.741,3.416,7.763
1997.5475,15.732,-0.795,8.381
1997.5746,25.508,-1.209,11.114
1997.6018,14.411,-3.898,
1997.6289,31.447,-1.608,11.136
1997.6561,32.509,2.447,12.88
1997.6832,31.207,1.208,10.474
1997.7104,30.599,2.145,9.965
1997.7375,40.085,6.095,15.483
1997.7647,34.233,6.195,
1997.7918,41.54,4.793,14.829
1997.819,33.572,6.671,12.947
1997.8461,23.61,10.016,11.46
1997.8733,10.445,13.478,8.891
1997.9004,12.106,14.756,11.173
1997.9276,11.524,19.435,14.685
1997.9547,4.187,16.53,11.068
1997.9819,-7.182,21.664,10.593
1998.009,-18.303,17.642,4.736
