,Station Name,ID,Lat,Lon,GLOSS ID,Country,Date,Coastline,Station
0,HELIGMAN,231,60.2,19.3,,ALA,01/01/1980,60,251
1,KOBBAKLINTAR,63,60.033,19.883,,ALA,01/01/1980,60,261
2,LEMSTROM,84,60.1,20.017,,ALA,01/01/1980,60,271
3,FOGLO / DEGERBY,249,60.032,20.385,,ALA,06/10/2015,60,281
4,PAGO PAGO,539,-14.28,-170.69,144.0,ASM,28/04/2015,745,1
5,BAHIA ESPERANZA,988,-63.3,-56.917,185.0,ATA,11/05/1999,999,1
6,ARGENTINE ISLANDS,913,-65.246,-64.257,188.0,ATA,21/05/2015,999,3
7,PUERTO SOBERANIA,1603,-62.483,-59.633,189.0,ATA,30/09/2004,999,5
8,ALMIRANTE BROWN,858,-64.9,-62.867,,ATA,01/01/1980,999,24
9,CAPE ROBERTS ANTARCTICA,1763,-77.034,163.191,,ATA,27/09/2010,999,70
10,SCOTT BASE,2029,-77.85,166.769,134.0,ATA,23/02/2012,999,80
11,ROTHERA,1931,-67.571,-68.13,342.0,ATA,21/05/2015,999,103
12,USHUAIA I,874,-54.817,-68.217,181.0,ARG,01/01/1980,860,1
13,USHUAIA II,1271,-54.817,-68.217,181.0,ARG,12/11/2007,860,2
14,PUERTO DESEADO,185,-47.75,-65.917,190.0,ARG,21/10/2015,860,11
15,COMODORO RIVADAVIA,181,-45.867,-67.483,,ARG,01/01/1980,860,21
16,PUERTO MADRYN,501,-42.767,-65.033,191.0,ARG,25/10/2010,860,31
17,PIRAMIDE,867,-42.583,-64.283,,ARG,01/01/1980,860,41
18,ROSALES,870,-38.933,-62.067,,ARG,01/01/1980,860,61
19,QUEQUEN,223,-38.583,-58.7,,ARG,05/04/1990,860,81
20,MAR DEL PLATA (PUERTO),857,-38.033,-57.533,192.0,ARG,01/01/1980,860,91
21,MAR DEL PLATA (NAVAL BASE),819,-38.033,-57.517,192.0,ARG,05/08/2015,860,101
22,MAR DE AJO,1542,-36.7,-56.667,,ARG,02/03/1988,860,124
23,RIO SANTIAGO,897,-34.85,-57.9,,ARG,01/01/1980,860,141
24,BUENOS AIRES,157,-34.6,-58.367,,ARG,14/05/1991,860,151
25,PALERMO,832,-34.567,-58.4,,ARG,05/08/2015,860,161
26,ISLA MARTIN GARCIA,864,-34.183,-58.25,,ARG,01/01/1980,860,171
27,DARWIN,935,-12.472,130.846,62.0,AUS,19/05/2015,680,11
28,MILNER BAY (GROOTE EYLANDT),1160,-13.86,136.416,,AUS,19/05/2015,680,15
29,KARUMBA,835,-17.5,140.833,,AUS,19/05/2015,680,18
30,WEIPA,1157,-12.667,141.867,,AUS,19/05/2015,680,21
31,BOOBY ISLAND,1268,-10.603,141.91,61.0,AUS,28/10/2014,680,25
32,TURTLE HEAD,1749,-10.522,142.212,,AUS,19/05/2015,680,28
