Body Name,Date,Transaction Number,Amount,Supplier,Expense Area,Directorate Name,Cost Centre Name,Subjective,Supplier Size,Merchant Category Code,Merchant Category Label
City of Westminster Council,01/01/2014,SCC:PCA:8004,1.69,BOOTS,Libraries & Culture,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,01/01/2014,SCC:PCA:8005,7.98,CHIC NEWS,Adult Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,01/01/2014,SCC:PCA:8006,336.6,ENVIRO WASTE LONDON LT,Adult Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,01/01/2014,SCC:PCA:8007,36.4,GREATER ANGLIA T/O,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000549,Rail Companies
City of Westminster Council,01/01/2014,SCC:PCA:8007,83.1,GREATER ANGLIA T/O,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000549,Rail Companies
City of Westminster Council,01/01/2014,SCC:PCA:8008,16.66,KITCHEN APPLIANCES,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000691,White Goods Suppliers
City of Westminster Council,01/01/2014,SCC:PCA:8008,216.67,KITCHEN APPLIANCES,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000691,White Goods Suppliers
City of Westminster Council,01/01/2014,SCC:PCA:8008,191.67,KITCHEN APPLIANCES,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000691,White Goods Suppliers
City of Westminster Council,01/01/2014,SCC:PCA:8008,250,KITCHEN APPLIANCES,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000691,White Goods Suppliers
City of Westminster Council,01/01/2014,SCC:PCA:8009,8.8,LONDON OVERGROUND-,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000549,Rail Companies
City of Westminster Council,01/01/2014,SCC:PCA:8010,5.15,Photobox Limited,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,01/01/2014,SCC:PCA:8011,9.44,PIZZA HUT 383,Adult Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,01/01/2014,SCC:PCA:8012,5,TESCO CONVENIENCE,Adult Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,02/01/2014,SCC:PCA:8013,12.87,ARGOS RETAIL GROUP,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Large Company,V000000247,General Retailers
City of Westminster Council,02/01/2014,SCC:PCA:8013,48.94,ARGOS RETAIL GROUP,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Large Company,V000000247,General Retailers
City of Westminster Council,02/01/2014,SCC:PCA:8014,37.79,GOOGLE ADWS,Libraries & Culture,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,03/01/2014,SCC:PCA:8015,4.2,BOOTS,Libraries & Culture,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,03/01/2014,SCC:PCA:8016,272,CITY LIT,Adult Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Large Company,,
City of Westminster Council,03/01/2014,SCC:PCA:8017,355,GATESHEAD COUNCIL INT,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,03/01/2014,SCC:PCA:8017,400.57,GATESHEAD COUNCIL INT,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,03/01/2014,SCC:PCA:8018,81.5,LUL TICKET MACHINE,Community Protection-Premises Management,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000549,Rail Companies
City of Westminster Council,03/01/2014,SCC:PCA:8018,81.5,LUL TICKET MACHINE,Community Protection-Premises Management,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000549,Rail Companies
City of Westminster Council,03/01/2014,SCC:PCA:8018,20,LUL TICKET MACHINE,Adult Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000549,Rail Companies
City of Westminster Council,03/01/2014,SCC:PCA:8019,8.8,LUL TICKET OFFICE.,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,03/01/2014,SCC:PCA:8020,5.45,MARKS & SPENCER SSPLTD,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,03/01/2014,SCC:PCA:8021,4.49,METROPOLITAN,Adult Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,03/01/2014,SCC:PCA:8022,40,OYSTER AUTOTOPUP,Community Protection-Premises Management,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Small Company,V000000467,Other Travel & Tourism Service Providers
City of Westminster Council,03/01/2014,SCC:PCA:8023,17.96,RYMAN,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Large Company,V000000625,Stationery & Office Products Suppliers
City of Westminster Council,03/01/2014,SCC:PCA:8024,4.95,SAINSBURYS,Adult Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Large Company,V000000247,General Retailers
City of Westminster Council,03/01/2014,SCC:PCA:8024,11.25,SAINSBURYS,Adult Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Large Company,V000000247,General Retailers
