Date,AAPL,DELL,MSFT,XOM
2000-01-03,3.77,49.21,41.47,27.45
2000-01-04,3.45,45.1,40.07,26.92
2000-01-05,3.5,48.31,40.49,28.39
2000-01-06,3.2,46.43,39.14,29.86
2000-01-07,3.35,44.68,39.65,29.77
2000-01-10,3.29,42.68,39.94,29.36
2000-01-11,3.12,41.42,38.91,29.44
2000-01-12,2.94,40.45,37.65,29.27
2000-01-13,3.26,41.72,38.36,29.95
2000-01-14,3.38,42.56,39.94,29.36
2000-01-18,3.5,40.69,41.03,29.71
2000-01-19,3.59,41.11,38.07,29.99
2000-01-20,3.82,42.32,37.71,29.33
2000-01-21,3.75,42.32,36.91,29.79
2000-01-24,3.58,40.21,36.02,29.53
2000-01-25,3.78,40.75,36.58,29.47
2000-01-26,3.71,39.06,35.36,29.27
2000-01-27,3.71,36.34,35.13,28.39
2000-01-28,3.42,36.03,34.96,27.65
2000-01-31,3.5,37.18,34.82,29.05
2000-02-01,3.38,37.67,36.62,29.16
2000-02-02,3.33,36.88,35.87,29.38
2000-02-03,3.48,37.24,36.87,28.87
2000-02-04,3.64,37.24,37.91,28.35
2000-02-07,3.84,36.4,37.94,28.31
2000-02-08,3.87,35.85,39.11,27.67
2000-02-09,3.79,34.4,37.0,26.88
2000-02-10,3.82,37.51,37.71,26.75
2000-02-11,3.66,35.67,35.56,26.04
2000-02-14,3.9,35.25,35.44,26.94
2000-02-15,4.01,36.64,35.07,27.96
2000-02-16,3.84,36.76,34.73,28.2
2000-02-17,3.87,39.36,35.44,27.45
2000-02-18,3.75,38.75,33.82,26.44
2000-02-22,3.83,38.51,33.38,26.59
2000-02-23,3.92,40.02,33.53,26.3
2000-02-24,3.88,40.99,33.71,25.67
2000-02-25,3.72,39.9,32.49,25.05
2000-02-28,3.82,39.66,32.58,25.91
2000-02-29,3.86,39.48,31.8,26.55
2000-03-01,4.39,41.63,32.31,26.81
2000-03-02,4.11,43.47,33.22,27.14
2000-03-03,4.31,44.74,34.2,26.68
2000-03-06,4.23,45.22,32.24,25.71
2000-03-07,4.14,44.26,33.04,28.2
2000-03-08,4.11,45.41,34.0,28.07
2000-03-09,4.12,48.79,35.58,28.35
2000-03-10,4.24,49.58,35.93,27.15
2000-03-13,4.09,52.96,34.87,26.75
2000-03-14,3.85,54.11,33.84,27.23
2000-03-15,3.92,51.94,33.93,27.41
2000-03-16,4.1,53.2,33.93,28.11
2000-03-17,4.21,54.6,35.36,27.19
2000-03-20,4.14,55.8,34.64,26.39
2000-03-21,4.55,56.11,36.56,27.14
2000-03-22,4.86,56.23,36.73,26.41
2000-03-23,4.76,55.62,39.8,26.61
2000-03-24,4.67,54.6,39.74,27.23
2000-03-27,4.7,55.99,37.02,26.97
2000-03-28,4.69,54.05,37.11,27.85
2000-03-29,4.58,52.06,38.14,28.38
2000-03-30,4.24,50.48,36.78,27.71
2000-03-31,4.58,52.18,37.8,27.49
2000-04-03,4.49,51.63,32.33,28.38
2000-04-04,4.29,52.54,31.51,29.08
2000-04-05,4.39,52.15,30.73,28.11
2000-04-06,4.22,49.88,30.6,28.82
2000-04-07,4.44,53.39,31.69,28.05
2000-04-10,4.21,52.66,30.62,27.58
2000-04-11,4.02,53.63,29.84,27.98
2000-04-12,3.68,49.7,28.24,28.18
2000-04-13,3.83,50.0,28.2,28.2
2000-04-14,3.77,46.07,26.37,27.76
2000-04-17,4.17,47.16,26.99,26.61
2000-04-18,4.27,48.85,28.66,26.86
2000-04-19,4.08,47.94,28.0,27.3
2000-04-20,4.0,48.31,28.08,27.85
2000-04-24,4.06,46.19,23.7,28.16
2000-04-25,4.32,49.46,24.68,28.55
2000-04-26,4.09,48.37,24.19,28.24
2000-04-27,4.27,50.06,24.84,28.44
2000-04-28,4.18,48.49,24.82,27.38
2000-05-01,4.19,49.4,26.13,27.49
2000-05-02,3.97,48.19,24.86,27.58
2000-05-03,3.88,47.7,25.1,27.32
