Date,AAPL,DELL,MSFT,XOM
2000-01-03,111.94,50.88,116.56,78.31
2000-01-04,102.5,46.62,112.62,76.81
2000-01-05,104.0,49.94,113.81,81.0
2000-01-06,95.0,48.0,110.0,85.19
2000-01-07,99.5,46.19,111.44,84.94
2000-01-10,97.75,44.12,112.25,83.75
2000-01-11,92.75,42.81,109.38,84.0
2000-01-12,87.19,41.81,105.81,83.5
2000-01-13,96.75,43.12,107.81,85.44
2000-01-14,100.44,44.0,112.25,83.75
2000-01-18,103.94,42.06,115.31,84.75
2000-01-19,106.56,42.5,107.0,85.56
2000-01-20,113.5,43.75,106.0,83.69
2000-01-21,111.31,43.75,103.75,85.0
2000-01-24,106.25,41.56,101.25,84.25
2000-01-25,112.25,42.12,102.81,84.06
2000-01-26,110.19,40.38,99.38,83.5
2000-01-27,110.0,37.56,98.75,81.0
2000-01-28,101.62,37.25,98.25,78.88
2000-01-31,103.75,38.44,97.88,82.88
2000-02-01,100.25,38.94,102.94,83.19
2000-02-02,98.81,38.12,100.81,83.81
2000-02-03,103.31,38.5,103.62,82.38
2000-02-04,108.0,38.5,106.56,80.88
2000-02-07,114.06,37.62,106.62,80.75
2000-02-08,114.88,37.06,109.94,78.94
2000-02-09,112.62,35.56,104.0,76.25
2000-02-10,113.5,38.78,106.0,75.88
2000-02-11,108.75,36.88,99.94,73.88
2000-02-14,115.81,36.44,99.62,76.44
2000-02-15,119.0,37.88,98.56,79.31
2000-02-16,114.12,38.0,97.62,80.0
2000-02-17,114.88,40.69,99.62,77.88
2000-02-18,111.25,40.06,95.06,75.0
2000-02-22,113.81,39.81,93.81,75.44
2000-02-23,116.25,41.38,94.25,74.62
2000-02-24,115.2,42.38,94.75,72.81
2000-02-25,110.37,41.25,91.31,71.06
2000-02-28,113.25,41.0,91.56,73.5
2000-02-29,114.62,40.81,89.38,75.31
2000-03-01,130.31,43.03,90.81,76.06
2000-03-02,122.0,44.94,93.38,77.0
2000-03-03,128.0,46.25,96.12,75.69
2000-03-06,125.69,46.75,90.62,72.94
2000-03-07,122.87,45.75,92.88,80.0
2000-03-08,122.0,46.94,95.56,79.62
2000-03-09,122.25,50.44,100.0,80.44
2000-03-10,125.75,51.25,101.0,77.03
2000-03-13,121.31,54.75,98.0,75.88
2000-03-14,114.25,55.94,95.12,77.25
2000-03-15,116.25,53.69,95.38,77.75
2000-03-16,121.56,55.0,95.38,79.75
2000-03-17,125.0,56.44,99.38,77.12
2000-03-20,123.0,57.69,97.38,74.88
2000-03-21,134.94,58.0,102.75,77.0
2000-03-22,144.19,58.12,103.25,74.94
2000-03-23,141.31,57.5,111.88,75.5
2000-03-24,138.69,56.44,111.69,77.25
2000-03-27,139.56,57.88,104.06,76.52
2000-03-28,139.12,55.88,104.31,79.0
2000-03-29,135.94,53.81,107.19,80.5
2000-03-30,125.75,52.19,103.38,78.62
2000-03-31,135.81,53.94,106.25,78.0
2000-04-03,133.31,53.38,90.88,80.5
2000-04-04,127.31,54.31,88.56,82.5
2000-04-05,130.38,53.91,86.38,79.75
2000-04-06,125.19,51.56,86.0,81.75
2000-04-07,131.75,55.19,89.06,79.56
2000-04-10,125.0,54.44,86.06,78.25
2000-04-11,119.44,55.44,83.88,79.38
2000-04-12,109.25,51.38,79.38,79.94
2000-04-13,113.81,51.69,79.25,80.0
2000-04-14,111.88,47.62,74.12,78.75
2000-04-17,123.88,48.75,75.88,75.5
2000-04-18,126.88,50.5,80.56,76.19
2000-04-19,121.12,49.56,78.69,77.44
2000-04-20,118.88,49.94,78.94,79.0
2000-04-24,120.5,47.75,66.62,79.88
2000-04-25,128.31,51.12,69.38,81.0
2000-04-26,121.31,50.0,68.0,80.12
2000-04-27,126.75,51.75,69.81,80.69
2000-04-28,124.06,50.12,69.75,77.69
2000-05-01,124.31,51.06,73.44,78.0
2000-05-02,117.87,49.81,69.88,78.25
2000-05-03,115.06,49.31,70.56,77.5
2000-05-04,110.69,47.25,70.44,79.5
2000-05-05,113.13,49.88,71.12,80.0
2000-05-08,110.13,47.94,69.81,80.44
2000-05-09,105.44,46.81,67.81,79.44
2000-05-10,99.31,44.94,66.19,81.5
2000-05-11,102.81,44.69,67.88,82.94
2000-05-12,107.62,49.88,68.81,82.03
2000-05-15,101.0,50.56,69.38,83.62
2000-05-16,105.69,49.88,69.5,83.25
2000-05-17,101.38,49.12,67.69,81.38
2000-05-18,100.75,47.88,66.19,81.45
2000-05-19,94.0,46.94,65.06,81.75
2000-05-22,89.94,45.94,64.19,83.31
2000-05-23,85.81,43.94,63.19,83.0
2000-05-24,87.69,45.25,65.56,82.94
2000-05-25,87.27,43.75,61.5,81.44
2000-05-26,86.37,42.38,61.44,82.38
2000-05-30,87.56,44.0,63.38,83.5
2000-05-31,84.0,43.12,62.56,83.31
2000-06-01,89.13,43.12,64.56,82.94
2000-06-02,92.56,43.31,66.31,79.19
2000-06-05,91.31,42.75,66.88,79.31
2000-06-06,92.87,44.69,69.62,82.31
2000-06-07,96.56,45.25,70.5,81.12
2000-06-08,94.81,45.31,68.81,80.06
2000-06-09,95.75,45.06,68.81,79.19
2000-06-12,91.19,44.88,66.88,80.75
2000-06-13,94.5,45.06,67.88,81.19
2000-06-14,90.44,46.19,70.5,82.62
2000-06-15,92.38,46.94,72.38,82.44
2000-06-16,91.19,47.5,72.56,84.38
2000-06-19,96.62,49.56,73.69,84.06
2000-06-20,101.25,48.56,74.94,83.25
2000-06-21,55.62,50.0,80.69,83.95
2000-06-22,53.75,48.5,79.88,82.69
2000-06-23,51.69,47.44,77.69,83.12
2000-06-26,54.12,49.0,79.5,83.36
2000-06-27,51.75,47.81,78.81,82.06
2000-06-28,54.44,49.0,78.94,82.12
2000-06-29,51.25,48.38,77.19,81.2
2000-06-30,52.37,49.31,80.0,78.5
2000-07-03,53.31,49.06,80.0,79.55
2000-07-05,51.62,47.44,78.5,76.94
2000-07-06,51.81,47.75,80.94,78.19
2000-07-07,54.44,50.69,82.0,78.52
2000-07-10,57.13,49.75,79.44,78.12
2000-07-11,56.94,50.75,79.12,80.56
