Date,AAPL,DELL,MSFT,XOM
2000-01-03,112.5,51.88,118.62,80.75
2000-01-04,110.62,49.25,117.12,78.19
2000-01-05,110.56,50.06,116.38,81.75
2000-01-06,107.0,49.12,113.88,85.81
2000-01-07,101.0,47.97,112.25,86.25
2000-01-10,102.25,46.5,113.69,84.62
2000-01-11,99.38,44.62,114.25,85.25
2000-01-12,95.5,44.0,108.88,84.38
2000-01-13,98.75,43.69,108.62,86.0
2000-01-14,102.25,46.06,113.94,85.5
2000-01-18,106.0,44.0,116.5,85.5
2000-01-19,108.75,42.97,111.5,85.88
2000-01-20,121.5,44.44,109.69,85.25
2000-01-21,114.25,44.75,107.25,85.19
2000-01-24,112.75,43.12,105.69,86.31
2000-01-25,113.13,42.62,103.88,86.12
2000-01-26,114.19,42.0,103.5,84.56
2000-01-27,113.0,41.0,101.19,83.31
2000-01-28,110.87,39.56,100.25,81.0
2000-01-31,103.87,38.56,98.19,83.56
2000-02-01,105.0,39.12,103.25,83.44
2000-02-02,102.12,39.19,103.94,84.88
2000-02-03,104.25,38.88,104.19,84.0
2000-02-04,110.0,39.0,108.0,83.5
2000-02-07,114.25,38.62,106.88,81.25
2000-02-08,116.12,37.81,110.0,81.88
2000-02-09,117.13,37.16,109.44,77.31
2000-02-10,113.87,39.25,106.56,77.69
2000-02-11,114.12,39.38,104.88,76.69
2000-02-14,115.87,37.5,101.75,76.94
2000-02-15,119.94,38.06,100.0,80.56
2000-02-16,118.12,38.62,100.19,80.38
2000-02-17,115.5,40.69,99.69,79.0
2000-02-18,115.38,40.5,100.06,77.38
2000-02-22,116.94,40.12,97.12,76.94
2000-02-23,119.0,42.06,95.75,75.81
2000-02-24,119.12,43.44,95.88,73.44
2000-02-25,117.0,43.81,94.7,74.38
2000-02-28,115.0,41.12,92.12,75.31
2000-02-29,117.25,41.0,91.75,75.62
2000-03-01,132.06,43.19,94.09,76.25
2000-03-02,127.94,45.0,95.38,77.69
2000-03-03,128.23,47.12,98.88,76.5
2000-03-06,129.13,47.88,97.38,75.0
2000-03-07,127.44,47.0,97.5,81.0
2000-03-08,123.94,47.62,96.19,82.0
2000-03-09,125.0,50.62,100.0,80.56
2000-03-10,127.94,54.03,102.5,80.19
2000-03-13,126.5,56.0,100.25,77.94
2000-03-14,124.25,57.94,99.25,78.0
2000-03-15,120.25,55.94,96.62,78.0
2000-03-16,122.0,55.06,96.69,79.94
2000-03-17,125.0,56.81,99.5,79.69
2000-03-20,126.25,59.06,99.75,77.31
2000-03-21,136.75,58.31,103.12,77.75
2000-03-22,144.38,59.69,105.62,77.0
2000-03-23,150.38,58.25,112.88,76.06
2000-03-24,143.94,59.0,115.0,77.56
2000-03-27,144.75,59.12,108.25,78.19
2000-03-28,142.0,57.81,107.44,79.0
2000-03-29,139.44,55.81,108.94,81.94
2000-03-30,137.69,54.56,108.62,81.81
2000-03-31,137.25,55.25,108.25,79.94
2000-04-03,139.5,55.12,96.5,80.75
2000-04-04,133.0,55.88,92.0,82.88
2000-04-05,132.88,56.75,88.5,83.12
2000-04-06,134.5,56.88,88.0,82.0
2000-04-07,131.87,56.0,89.38,81.38
2000-04-10,132.75,56.62,88.62,79.62
2000-04-11,124.87,56.06,86.06,80.94
2000-04-12,119.0,55.0,82.25,81.5
2000-04-13,120.0,54.5,82.25,81.0
2000-04-14,118.0,51.25,79.5,81.75
2000-04-17,123.94,49.69,76.0,79.38
2000-04-18,126.88,51.69,81.94,76.81
2000-04-19,130.25,50.81,81.5,78.44
2000-04-20,124.75,50.31,79.88,79.0
2000-04-24,120.5,47.88,68.0,81.0
2000-04-25,128.75,51.5,69.5,81.5
