Date,AAPL,DELL,MSFT,XOM
2000-01-03,101.69,48.31,112.0,77.88
2000-01-04,101.19,46.5,112.25,76.5
2000-01-05,103.0,46.88,109.38,77.81
2000-01-06,95.0,47.06,108.38,80.19
2000-01-07,95.5,44.88,107.31,84.0
2000-01-10,94.75,43.75,111.38,83.56
2000-01-11,90.5,42.5,108.69,83.62
2000-01-12,86.5,41.75,104.44,82.81
2000-01-13,92.5,42.62,101.5,83.12
2000-01-14,99.38,43.88,105.75,83.0
2000-01-18,100.44,41.94,111.75,82.38
2000-01-19,103.37,41.0,106.0,83.69
2000-01-20,113.5,42.5,105.88,82.69
2000-01-21,110.19,43.44,103.25,83.31
2000-01-24,105.12,41.31,100.81,83.0
2000-01-25,102.38,40.75,99.56,83.81
2000-01-26,109.75,39.5,99.12,82.69
2000-01-27,107.0,37.44,97.25,79.75
2000-01-28,100.62,37.06,97.25,78.88
2000-01-31,94.5,37.0,94.88,77.88
2000-02-01,100.0,37.5,97.69,81.38
2000-02-02,97.0,38.0,100.5,83.25
2000-02-03,100.25,38.12,100.12,80.06
2000-02-04,103.62,38.31,104.14,80.06
2000-02-07,105.94,37.47,104.25,79.5
2000-02-08,111.25,35.0,106.44,78.69
2000-02-09,112.44,35.5,103.88,76.0
2000-02-10,110.0,36.12,102.5,75.31
2000-02-11,108.25,36.81,99.12,72.69
2000-02-14,108.62,36.25,99.06,74.44
2000-02-15,115.19,36.0,98.12,77.44
2000-02-16,112.12,37.12,97.12,78.38
2000-02-17,113.13,37.44,97.14,77.31
2000-02-18,110.87,39.69,94.88,75.0
2000-02-22,106.69,38.0,92.81,74.5
2000-02-23,111.0,39.0,92.06,73.12
2000-02-24,111.75,41.06,92.0,71.5
2000-02-25,110.13,41.0,90.5,70.0
2000-02-28,108.38,39.5,88.12,69.88
2000-02-29,112.56,39.62,88.88,72.94
2000-03-01,118.5,39.94,88.94,73.19
2000-03-02,120.69,41.88,91.12,75.56
2000-03-03,120.0,44.75,93.88,74.25
2000-03-06,125.0,45.0,90.12,72.0
2000-03-07,121.12,45.25,91.94,72.0
2000-03-08,118.56,45.25,91.0,77.5
2000-03-09,118.25,46.5,95.0,77.44
2000-03-10,121.0,50.75,99.5,76.31
2000-03-13,119.5,51.62,97.5,74.38
2000-03-14,114.0,55.41,95.12,74.62
2000-03-15,114.12,53.38,93.69,74.69
2000-03-16,114.5,51.0,93.25,75.88
2000-03-17,119.62,53.88,94.5,77.0
2000-03-20,122.38,56.56,96.5,74.31
2000-03-21,121.62,56.56,96.5,75.62
2000-03-22,131.56,57.62,101.12,74.44
2000-03-23,140.0,55.62,106.62,74.31
2000-03-24,135.5,55.75,109.56,75.62
2000-03-27,136.87,55.31,103.94,75.75
2000-03-28,137.12,55.88,102.38,75.62
2000-03-29,133.83,53.19,105.12,77.75
2000-03-30,125.44,51.25,102.5,77.69
2000-03-31,126.0,52.19,104.12,77.81
2000-04-03,129.44,53.0,90.0,77.69
2000-04-04,116.75,48.0,84.94,79.94
2000-04-05,124.0,52.69,85.88,79.5
2000-04-06,123.25,50.0,85.27,80.06
2000-04-07,125.5,52.25,85.0,79.06
2000-04-10,124.75,54.25,86.0,78.12
2000-04-11,118.06,53.12,83.5,78.69
2000-04-12,104.88,51.19,78.75,79.69
2000-04-13,108.5,50.47,79.0,78.81
2000-04-14,109.0,47.0,73.25,78.0
2000-04-17,109.06,46.19,73.0,75.12
2000-04-18,119.37,48.62,75.88,75.0
2000-04-19,119.75,49.0,78.12,76.0
2000-04-20,117.06,49.38,77.5,77.06
2000-04-24,114.75,46.31,65.0,77.19
2000-04-25,122.06,48.31,67.62,80.12
2000-04-26,120.0,49.88,67.38,79.31
2000-04-27,116.58,48.38,67.38,78.62
2000-04-28,121.31,49.56,68.25,77.69
2000-05-01,121.88,49.0,71.69,77.69
2000-05-02,117.5,49.56,69.5,78.0
2000-05-03,111.63,47.81,68.81,77.0
2000-05-04,110.56,46.75,69.31,77.81
2000-05-05,110.72,47.25,69.88,78.69
2000-05-08,110.0,47.5,69.69,79.38
2000-05-09,104.88,46.19,67.5,78.75
2000-05-10,98.75,44.56,65.75,79.62
2000-05-11,99.0,43.44,65.75,81.5
2000-05-12,104.77,48.38,68.25,81.69
2000-05-15,100.12,47.56,68.0,81.75
2000-05-16,102.75,47.88,69.06,82.25
2000-05-17,100.37,47.94,67.25,80.5
2000-05-18,100.62,47.62,65.88,80.94
2000-05-19,93.37,46.44,64.5,79.94
2000-05-22,86.0,43.62,62.44,82.25
2000-05-23,85.63,43.75,63.06,81.62
2000-05-24,83.0,42.31,63.0,82.06
2000-05-25,86.0,43.31,61.12,80.69
2000-05-26,85.25,41.38,60.38,81.56
2000-05-30,81.75,42.0,62.0,81.81
2000-05-31,83.81,42.88,62.06,82.31
2000-06-01,80.38,42.38,63.81,80.88
