Date,AAPL,DELL,MSFT,XOM
2000-01-03,104.88,51.38,117.38,79.5
2000-01-04,108.25,48.06,113.56,77.38
2000-01-05,103.75,47.0,111.12,78.0
2000-01-06,106.13,47.56,112.19,80.62
2000-01-07,96.5,47.06,108.62,85.94
2000-01-10,102.0,46.44,113.44,84.19
2000-01-11,95.94,43.56,111.5,83.75
2000-01-12,95.0,43.0,108.5,83.25
2000-01-13,94.48,43.06,104.38,83.5
2000-01-14,100.0,44.31,107.19,85.5
2000-01-18,101.0,43.88,111.81,82.75
2000-01-19,105.62,41.75,110.5,84.25
2000-01-20,115.5,43.69,107.06,85.19
2000-01-21,114.25,43.88,107.0,84.0
2000-01-24,108.44,42.53,103.8,85.44
2000-01-25,105.0,41.5,101.0,84.0
2000-01-26,110.0,41.06,102.44,84.06
2000-01-27,108.81,39.53,99.89,83.31
2000-01-28,108.19,37.88,98.12,80.0
2000-01-31,101.0,37.5,97.62,78.62
2000-02-01,104.0,38.56,98.5,83.31
2000-02-02,100.75,38.88,102.44,83.25
2000-02-03,100.31,38.38,102.06,83.44
2000-02-04,103.94,38.56,104.38,83.5
2000-02-07,108.0,38.5,106.81,79.5
2000-02-08,114.0,36.94,106.44,81.0
2000-02-09,114.12,36.31,109.44,76.75
2000-02-10,112.88,36.25,103.89,76.25
2000-02-11,113.63,39.38,104.88,76.0
2000-02-14,109.31,37.13,101.23,74.5
2000-02-15,115.25,36.44,99.75,77.75
2000-02-16,117.75,37.75,99.25,79.0
2000-02-17,115.19,38.31,98.5,79.0
2000-02-18,114.62,40.06,100.0,77.31
2000-02-22,110.13,39.63,95.12,76.25
2000-02-23,113.23,39.0,93.5,74.12
2000-02-24,117.31,41.5,94.25,72.69
2000-02-25,114.81,43.63,94.69,72.56
2000-02-28,110.13,40.25,90.25,71.0
2000-02-29,113.56,40.69,91.75,73.5
2000-03-01,118.56,40.19,89.62,75.38
2000-03-02,127.0,42.19,91.81,76.0
2000-03-03,124.87,45.03,94.75,76.5
2000-03-06,126.0,46.28,96.0,74.0
2000-03-07,126.44,46.81,96.12,72.12
2000-03-08,122.87,45.81,93.81,77.5
2000-03-09,120.87,46.63,95.31,78.0
2000-03-10,121.69,51.38,99.56,80.0
2000-03-13,122.13,52.25,97.62,76.5
2000-03-14,121.22,56.19,98.62,75.12
2000-03-15,115.62,55.88,94.56,77.19
2000-03-16,117.31,53.56,95.94,78.0
2000-03-17,120.13,54.75,95.25,79.31
2000-03-20,123.5,57.63,98.75,76.19
2000-03-21,122.56,57.5,96.75,75.75
2000-03-22,132.78,58.81,102.81,77.0
2000-03-23,142.0,57.0,106.81,74.62
2000-03-24,142.44,57.0,112.62,75.75
2000-03-27,137.63,56.5,107.77,77.25
2000-03-28,137.25,56.94,103.62,75.62
2000-03-29,139.38,55.75,105.19,78.19
2000-03-30,133.56,52.0,106.19,81.44
2000-03-31,127.44,52.81,106.0,78.88
2000-04-03,135.5,53.75,94.44,77.75
2000-04-04,132.63,53.94,91.56,79.94
2000-04-05,126.47,53.0,88.25,82.0
2000-04-06,130.63,55.31,87.88,80.56
2000-04-07,127.25,52.38,87.0,81.0
2000-04-10,131.69,54.94,88.62,79.0
2000-04-11,123.5,53.5,85.12,78.94
2000-04-12,119.0,54.5,82.12,80.0
2000-04-13,111.5,51.25,80.88,79.94
2000-04-14,109.31,50.5,79.12,79.81
2000-04-17,109.5,46.25,74.25,78.62
2000-04-18,123.5,48.94,76.5,76.0
2000-04-19,126.19,50.38,81.44,76.25
2000-04-20,123.69,49.38,78.62,77.44
2000-04-24,115.0,47.25,67.25,78.62
2000-04-25,122.13,48.56,68.75,80.25
2000-04-26,126.62,51.38,70.0,81.0
2000-04-27,117.19,48.38,67.44,79.62
2000-04-28,127.13,52.25,70.75,80.44
2000-05-01,124.87,50.69,72.88,78.31
2000-05-02,123.25,50.63,72.81,78.19
2000-05-03,118.94,49.63,70.38,78.38
2000-05-04,115.13,49.06,70.31,78.0
2000-05-05,110.81,47.5,70.25,78.75
2000-05-08,112.09,49.06,70.94,79.88
